base_image,group_emotion,individual_emotions
395881830_4a3ba3dac7_142_18558269@N00,sad,"['sad', 'sad', 'sad', 'sad']"
640136013_6d45d495c6_1429_9316316@N05,happy,"['sad', 'angry', 'neutral', 'happy', 'happy', 'happy', 'happy']"
2543426146_788b19c150_3139_56117563@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'fear', 'happy', 'happy']"
512111361_a361d5d188_189_71618298@N00,happy,"['happy', 'happy', 'sad', 'happy', 'happy']"
757443116_d4c1c4c10e_1183_22693520@N00,sad,"['sad', 'fear', 'happy', 'sad', 'happy', 'happy', 'happy', 'fear', 'sad', 'sad', 'neutral', 'sad']"
1608961046_8334a54c05_2012_32729164@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2173363752_c20fb492da_2183_14333987@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
1422432344_7b01de2ad1_1356_22427220@N00,happy,"['happy', 'neutral', 'fear', 'happy', 'happy']"
2557185012_155ef84e0f_2304_8452611@N05,sad,"['sad', 'happy', 'sad', 'happy']"
1592647626_115fa18167_2070_50007725@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy', 'happy', 'sad']"
493358391_6578e8d79d_195_34806931@N00,happy,"['sad', 'happy', 'neutral', 'happy', 'happy']"
2606094581_1bf4d33f6a_3056_18723167@N00,happy,"['happy', 'happy', 'neutral', 'neutral']"
2607670399_c7b3bfeae6_3049_28039108@N08,happy,"['sad', 'happy', 'neutral', 'happy', 'happy', 'happy']"
2345680043_57d2cc8a94_3227_7692803@N08,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
2489105702_a976261e52_3178_83603910@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2484141571_f6f08a9c96_2179_25562715@N05,happy,"['sad', 'neutral', 'happy', 'happy', 'neutral', 'happy', 'surprise', 'sad', 'fear', 'sad', 'happy', 'neutral', 'fear', 'happy', 'happy', 'happy', 'neutral', 'neutral', 'angry', 'fear', 'happy', 'neutral', 'fear', 'fear', 'sad', 'sad', 'happy', 'fear', 'neutral', 'sad', 'sad']"
376656220_668935e4f6_137_60363628@N00,happy,"['angry', 'happy', 'happy', 'happy', 'happy']"
2430463226_6823561458_2260_99673801@N00,neutral,"['neutral', 'neutral', 'sad', 'happy']"
2082609007_d718614265_2352_21466804@N02,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'sad']"
481386834_4012dddeb2_203_27797449@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'angry']"
2332003791_f1fd0c9eaf_3278_7585885@N07,happy,"['happy', 'neutral', 'happy', 'happy']"
2478593301_7ac96f27ef_3269_73474605@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2124451044_8c4d44fe4d_2061_70879186@N00,happy,"['sad', 'happy', 'happy', 'happy']"
2128929059_d01f1f46a3_2249_22140001@N08,happy,"['happy', 'neutral', 'happy', 'happy', 'happy', 'sad', 'fear', 'happy', 'sad', 'fear', 'angry', 'sad', 'neutral']"
2340320925_e94b09ae56_3097_11099615@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'happy', 'fear']"
1108987507_d07f0dfc5c_1092_47182576@N00,happy,"['happy', 'happy', 'happy', 'sad', 'sad', 'happy', 'happy', 'sad', 'angry', 'fear', 'happy', 'neutral', 'neutral']"
1116203619_be28a77a15_1332_8844649@N03,happy,"['happy', 'happy', 'happy', 'happy']"
2208149591_f3b7c6d044_2094_12301476@N08,happy,"['sad', 'angry', 'neutral', 'happy', 'happy', 'happy']"
2127095688_233a0f7074_2263_11238333@N07,happy,"['happy', 'happy', 'happy', 'happy', 'angry', 'happy']"
1043915618_25a61853c4_1010_11123524@N06,happy,"['happy', 'happy', 'happy', 'happy']"
858965197_ac2e196fd7_1410_23927408@N00,happy,"['happy', 'happy', 'happy', 'happy', 'fear', 'sad', 'sad']"
1573972272_b1bf00dd84_2323_67991331@N00,neutral,"['happy', 'neutral', 'neutral', 'neutral', 'neutral', 'happy']"
408390296_c6aa0007e4_184_48112347@N00,sad,"['sad', 'neutral', 'fear', 'neutral', 'happy', 'fear', 'sad', 'sad', 'fear', 'happy', 'happy', 'happy', 'sad', 'neutral', 'sad', 'happy']"
2196464242_64f2f5c88f_2002_11297183@N07,happy,"['happy', 'neutral', 'happy', 'happy', 'happy', 'happy']"
437166860_5fb187ae67_147_33494407@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
2255185699_156e163d0e_2150_15257135@N06,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
1331744941_e5a6526d4a_1353_12468820@N07,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
465832538_9e14f4250c_190_7964750@N08,happy,"['happy', 'happy', 'happy', 'angry', 'fear', 'neutral', 'sad', 'neutral', 'sad']"
2453194759_5b51a8ce65_3157_22741022@N08,happy,"['happy', 'sad', 'fear', 'happy', 'happy', 'happy']"
2630149497_b1c0d0dd30_3064_20503698@N00,happy,"['happy', 'happy', 'happy', 'happy', 'sad', 'fear', 'neutral']"
2367635108_0517dc3153_2201_11904452@N04,happy,"['happy', 'happy', 'happy', 'neutral', 'happy', 'sad', 'sad', 'happy', 'happy', 'sad', 'sad', 'angry', 'sad', 'happy', 'neutral', 'happy']"
1413405347_bb7bacca55_1068_13889964@N03,happy,"['happy', 'happy', 'sad', 'neutral', 'happy', 'happy', 'happy']"
472294633_3aad4f174c_213_89608384@N00,happy,"['happy', 'happy', 'happy', 'happy']"
443158153_70964b18b1_184_45624401@N00,neutral,"['neutral', 'neutral', 'neutral', 'neutral']"
534311631_a4588967cf_1088_76663156@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2484640983_8965de6a3a_2410_25164620@N06,happy,"['neutral', 'happy', 'sad', 'happy', 'happy']"
556759453_d39021ca7e_1117_47157382@N00,happy,"['happy', 'sad', 'happy', 'happy', 'happy', 'happy', 'happy']"
358906670_025471dd39_165_43002734@N00,happy,"['happy', 'happy', 'happy', 'sad', 'sad', 'happy', 'neutral', 'happy']"
1455932956_458093acf1_1417_41432413@N00,happy,"['sad', 'fear', 'fear', 'happy', 'happy', 'happy', 'happy']"
366991219_5351831a0f_115_10492664@N00,happy,"['happy', 'sad', 'happy', 'happy', 'happy', 'happy', 'sad']"
2369568362_2fcd55eccf_2052_22874721@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2333927502_ce5081318a_3260_8277241@N03,happy,"['neutral', 'happy', 'happy', 'happy']"
1207843060_bd402ed062_1419_73107181@N00,neutral,"['neutral', 'neutral', 'neutral', 'neutral', 'happy', 'neutral', 'happy', 'happy', 'sad', 'sad']"
1881666380_61087c1a8a_2398_99766845@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2072903606_348ea2c3d7_2027_60843699@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
630535655_af5bd37673_1436_74474255@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
471993792_86353733a7_205_29795037@N00,happy,"['happy', 'happy', 'happy', 'sad', 'sad', 'happy']"
462273274_e7a9467075_233_7855817@N04,happy,"['happy', 'neutral', 'happy', 'sad', 'happy', 'happy']"
393582413_f0d28c5095_143_95957999@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral', 'fear']"
496473264_1c29378e69_220_41269729@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
2597937723_53b3a0fd16_3065_91636052@N00,happy,"['happy', 'happy', 'happy', 'happy']"
691663403_f5e4ec8914_1090_8999745@N08,sad,"['sad', 'angry', 'sad', 'happy']"
2230733615_844e92873f_2011_96715103@N00,happy,"['sad', 'fear', 'happy', 'happy', 'happy', 'sad', 'happy', 'neutral', 'sad']"
395653220_34fabcb80b_136_31355686@N00,sad,"['sad', 'happy', 'sad', 'sad', 'sad', 'happy']"
2081584985_461c8aefa0_2080_15976714@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2412160563_af0352d3d0_3035_10391536@N02,happy,"['sad', 'happy', 'angry', 'neutral', 'happy']"
503507494_316aa1d5b9_209_53488310@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
457339794_2d7a2db864_203_37423588@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2598767912_013c05692b_3124_91636052@N00,happy,"['happy', 'angry', 'happy', 'sad', 'happy']"
2384131623_b7cbd43d0a_2109_12223835@N08,happy,"['happy', 'happy', 'sad', 'angry', 'fear']"
2231690353_0aa4d6fc7b_2181_80018218@N00,happy,"['happy', 'neutral', 'happy', 'sad', 'happy', 'happy']"
447935415_21ded446b4_182_7673652@N07,happy,"['happy', 'happy', 'happy', 'happy']"
2335068308_308beb467e_2252_25056484@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
417996917_ecb7a93969_145_33494407@N00,happy,"['happy', 'happy', 'fear', 'happy', 'happy', 'happy', 'happy']"
758405560_a60bbeca3e_1261_9429896@N08,happy,"['happy', 'happy', 'sad', 'happy']"
1451928775_9e6c52fb60_1387_92255788@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'happy', 'sad', 'sad', 'happy']"
2381928901_d7a71dbcc8_3088_86493432@N00,happy,"['neutral', 'happy', 'happy', 'happy']"
505320868_c8b4769d8a_205_27446776@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
1211110440_f371052b31_1393_11929426@N07,happy,"['happy', 'happy', 'happy', 'happy']"
355457662_df978c8379_146_57278963@N00,sad,"['sad', 'happy', 'happy', 'happy', 'sad', 'sad', 'sad']"
2391736493_c6b01e23ea_2058_98885702@N00,happy,"['happy', 'fear', 'neutral', 'sad', 'happy', 'happy', 'happy', 'happy']"
2546827836_150602977e_3076_27214646@N03,happy,"['happy', 'neutral', 'happy', 'happy', 'surprise']"
1072049946_cd13ce00f7_1062_65191995@N00,neutral,"['neutral', 'neutral', 'happy', 'sad', 'happy', 'happy', 'neutral', 'neutral', 'fear']"
2142142812_bd8570d36f_2417_84385611@N00,happy,"['neutral', 'happy', 'happy', 'sad', 'sad']"
968219681_6be2f0443f_1013_25916960@N00,happy,"['happy', 'happy', 'sad', 'happy']"
2338929366_0cf9055249_2033_45112087@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
1417842764_334cfca818_1416_8820364@N04,happy,"['happy', 'fear', 'neutral', 'happy', 'happy', 'happy', 'happy']"
2292744602_4b55c2a0e2_2131_77594430@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'fear']"
1258460437_aa545f4f1f_1353_12094307@N06,happy,"['happy', 'happy', 'happy', 'neutral', 'fear', 'neutral', 'happy']"
2045008681_7d5e2b4e41_2213_98359355@N00,happy,"['happy', 'sad', 'happy', 'happy']"
1213544226_c63121e123_1351_11435404@N04,happy,"['neutral', 'happy', 'happy', 'happy', 'neutral', 'angry', 'sad', 'happy', 'sad', 'fear', 'sad', 'sad', 'neutral']"
437170164_91ccbd023d_158_33494407@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
524747601_81d373ca04_217_8616627@N07,happy,"['happy', 'happy', 'happy', 'happy']"
2432352412_b19616e5db_2217_44168815@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2137359719_30a41f03b7_2143_13037811@N06,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
2047174721_1a4f5180a6_2113_80487720@N00,neutral,"['neutral', 'neutral', 'fear', 'neutral', 'happy', 'neutral', 'fear', 'angry', 'neutral', 'sad', 'happy']"
2511668829_938bfbdab1_3225_26651518@N08,happy,"['sad', 'angry', 'happy', 'happy', 'angry', 'happy']"
2177248882_bb26dcc165_2245_22591173@N05,happy,"['happy', 'happy', 'sad', 'happy', 'happy', 'happy', 'happy']"
2248838961_3b8f9f32cd_2335_10150322@N04,happy,"['sad', 'happy', 'happy', 'happy']"
2192020641_b111f44e51_2411_61798155@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2431036594_5f7d900fa0_3101_23034512@N07,happy,"['fear', 'happy', 'neutral', 'happy', 'happy']"
452880944_a7aee19efe_193_25637845@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy', 'neutral']"
592330798_dd3e96989d_1284_9066456@N06,happy,"['happy', 'happy', 'happy', 'happy']"
2629717827_3251c10bb4_3044_28195367@N03,happy,"['neutral', 'happy', 'happy', 'happy']"
1235044150_dae932f3f9_1180_24572661@N00,happy,"['sad', 'happy', 'happy', 'happy', 'happy']"
2616652740_ce21af90d9_3264_27230969@N02,happy,"['happy', 'surprise', 'happy', 'happy']"
1313540464_cf4575aa19_1192_75557283@N00,happy,"['happy', 'happy', 'fear', 'happy', 'fear', 'neutral']"
1138572980_a8d92e1c15_1099_62033724@N00,happy,"['angry', 'happy', 'sad', 'happy', 'neutral', 'happy', 'happy', 'happy']"
2303128789_fa41b07e55_2186_8462979@N05,happy,"['neutral', 'happy', 'happy', 'happy', 'neutral', 'sad']"
2362892518_48e945feba_2066_9198191@N08,happy,"['happy', 'happy', 'happy', 'happy']"
2493854890_5b153e04af_3271_26586061@N07,happy,"['happy', 'happy', 'happy', 'happy']"
388866765_798e9054ab_141_14333987@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'angry']"
2510868973_48681f715a_2374_99383694@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2270861107_abd65ee73d_2034_81147517@N00,happy,"['happy', 'happy', 'happy', 'happy']"
498039784_3f8a01aecc_196_25903888@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
414694886_71f67f6784_132_55099345@N00,happy,"['happy', 'neutral', 'neutral', 'happy']"
770817895_ba00710569_1439_21139926@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'happy', 'fear', 'sad']"
2637436759_0ace923394_3082_28262554@N02,happy,"['happy', 'angry', 'happy', 'happy', 'happy']"
1149640796_fac3bcaa26_1392_11515065@N04,happy,"['happy', 'happy', 'happy', 'sad', 'neutral', 'happy', 'neutral']"
1083587895_88934eb2e5_1429_10963777@N03,sad,"['happy', 'sad', 'sad', 'neutral']"
2362213310_fb951df168_3213_10104242@N03,happy,"['disgust', 'happy', 'neutral', 'happy']"
2429378849_cce091942d_2204_25173944@N05,happy,"['happy', 'angry', 'happy', 'happy', 'happy', 'disgust']"
368637256_9d316c694c_164_23551531@N00,happy,"['angry', 'happy', 'happy', 'neutral', 'sad']"
1130146146_df59eff5fc_1167_29476455@N00,happy,"['happy', 'sad', 'happy', 'happy', 'happy', 'neutral', 'fear']"
519270337_60811f761a_212_8023699@N02,neutral,"['sad', 'neutral', 'happy', 'angry', 'neutral']"
2069263725_d913070f4e_2061_93155399@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2223946280_32c9e76836_2081_23202997@N05,neutral,"['neutral', 'neutral', 'happy', 'neutral']"
386994669_a0e5bdc201_133_68063639@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2275901846_cdf790a368_2264_34074763@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
1404856932_34d12f1d68_1095_79665397@N00,sad,"['sad', 'sad', 'neutral', 'neutral', 'sad']"
422768460_d86b5d4c4a_165_60912478@N00,sad,"['sad', 'sad', 'neutral', 'neutral']"
1085712661_7804b83bef_1147_7657198@N07,happy,"['happy', 'sad', 'happy', 'sad', 'neutral', 'neutral']"
489286974_258d9cdec3_228_77086734@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral', 'happy', 'neutral']"
2351665738_7707632bc4_2160_83949683@N00,angry,"['angry', 'angry', 'angry', 'happy', 'happy', 'angry']"
1196559318_2e9bad9874_1435_76485715@N00,happy,"['neutral', 'happy', 'happy', 'happy']"
1811973947_d6966fa76e_2156_8730186@N03,neutral,"['neutral', 'neutral', 'happy', 'happy', 'angry']"
1289536045_660632b925_1184_88382300@N00,happy,"['happy', 'happy', 'neutral', 'angry', 'fear']"
371665355_6ca363a832_146_41432413@N00,happy,"['sad', 'happy', 'neutral', 'happy', 'happy', 'happy']"
2015641958_23063cac19_2379_8612532@N02,happy,"['happy', 'fear', 'happy', 'happy', 'happy']"
1368543371_793a8e0b81_1346_20293012@N00,happy,"['happy', 'happy', 'happy', 'sad', 'fear']"
2208099159_b598e1fb13_2228_12301476@N08,happy,"['happy', 'happy', 'happy', 'neutral']"
484107017_479606b464_221_38366783@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
578346054_e9836789d7_1296_54076126@N00,sad,"['sad', 'sad', 'happy', 'happy']"
2072759581_82607c5604_2009_21363856@N04,happy,"['neutral', 'fear', 'neutral', 'happy', 'happy', 'happy', 'happy', 'happy']"
1518791126_d00951c07f_2346_75229645@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'neutral', 'happy', 'happy', 'angry']"
2287901394_d3fcdbc703_2327_91074341@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1086146334_9ace888fb6_1211_89183239@N00,neutral,"['neutral', 'happy', 'neutral', 'happy']"
577326616_0181ab0e01_1327_14589397@N00,happy,"['happy', 'happy', 'happy', 'disgust']"
1076977723_ee9462fe59_1272_10044441@N07,happy,"['happy', 'happy', 'sad', 'happy', 'neutral', 'happy', 'happy', 'sad']"
2324092815_2483969e55_2161_8169640@N05,happy,"['happy', 'happy', 'neutral', 'happy', 'happy']"
512665783_fdb86aa597_194_75783760@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
371092686_7144027472_178_59642516@N00,happy,"['happy', 'angry', 'happy', 'angry', 'happy']"
1404045261_9cff8c5857_1405_12393185@N04,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2122294422_a87a9b28bc_2218_92283658@N00,happy,"['happy', 'surprise', 'happy', 'sad', 'happy']"
2024929596_8c2e1e154b_2039_19151876@N05,happy,"['happy', 'happy', 'happy', 'angry', 'neutral', 'happy', 'happy']"
2117770781_c87f125c3c_2346_67674576@N00,happy,"['happy', 'happy', 'sad', 'happy', 'happy']"
2556865743_db4c934eb5_3192_26029196@N02,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
487717122_dde49a6521_228_48255439@N00,fear,"['sad', 'fear', 'fear', 'sad', 'happy', 'neutral', 'fear']"
1028034265_ecc163ecab_1196_31235436@N00,neutral,"['neutral', 'happy', 'neutral', 'neutral', 'neutral']"
2633356957_ff59998b85_3043_28159208@N02,happy,"['happy', 'happy', 'happy', 'sad', 'happy']"
410429268_9101c88aff_163_16933505@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
863667008_fc61f091b2_1245_7448778@N05,sad,"['fear', 'sad', 'sad', 'neutral', 'neutral', 'neutral', 'happy', 'happy', 'neutral', 'sad', 'sad']"
2562368222_ba86698e66_3077_29165914@N00,happy,"['happy', 'sad', 'happy', 'happy', 'happy']"
2419131479_9472d849ce_2053_25702513@N07,happy,"['sad', 'happy', 'neutral', 'happy', 'happy']"
2372090007_2a0ea4a671_3143_25152425@N07,happy,"['neutral', 'happy', 'happy', 'happy', 'happy']"
1501191726_775432411d_2036_13277662@N05,happy,"['happy', 'neutral', 'happy', 'happy', 'happy', 'happy']"
2227787010_6c041e6e3d_2046_91699553@N00,sad,"['sad', 'sad', 'angry', 'angry', 'happy', 'happy']"
472709014_192fd1bf5c_226_95206915@N00,happy,"['fear', 'neutral', 'happy', 'happy', 'happy']"
2475954231_dc9f5d1609_2229_48889113547@N01,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
369679112_7ae8a9d59d_173_64333955@N00,happy,"['happy', 'happy', 'neutral', 'sad', 'fear', 'neutral']"
543347376_605809b39d_1228_91813747@N00,happy,"['angry', 'happy', 'happy', 'happy', 'happy']"
529463603_8bac98779d_241_27297711@N00,happy,"['sad', 'neutral', 'happy', 'happy', 'fear', 'happy', 'happy', 'sad', 'happy', 'happy']"
2233546284_c2117b56ec_2021_22108763@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'neutral', 'happy']"
1096238010_4039e2f544_1327_56267759@N00,happy,"['sad', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'neutral']"
2332003877_544cf0266f_3220_7585885@N07,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
490559444_f8fa2c57e1_198_32377587@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2384075391_37697c9ff6_3073_23183986@N04,neutral,"['sad', 'neutral', 'neutral', 'happy', 'happy']"
778730061_df37defd0c_1124_96037289@N00,neutral,"['fear', 'neutral', 'happy', 'happy', 'neutral']"
2545809819_93d4dd294d_2127_71026995@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
385884254_f06f955e94_124_27675389@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'happy']"
1592652968_1173544629_2077_50007725@N00,happy,"['fear', 'happy', 'happy', 'happy', 'happy']"
539973422_879c42d8e4_1021_31438750@N00,happy,"['happy', 'sad', 'happy', 'happy', 'neutral', 'neutral', 'sad', 'fear', 'neutral']"
732823570_38d6c73e91_1122_19914039@N00,happy,"['happy', 'happy', 'neutral', 'angry', 'neutral']"
2541530085_4977e8be01_3018_7238639@N04,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2411136465_47a12904b3_3169_8007781@N07,happy,"['happy', 'sad', 'happy', 'happy', 'happy']"
2059176541_e9bc24076d_2106_44424738@N00,happy,"['happy', 'fear', 'happy', 'sad', 'happy']"
2597509529_f20d3d1389_3109_64911003@N00,happy,"['happy', 'happy', 'happy', 'happy']"
458909450_8bbdcfb56d_170_91863145@N00,happy,"['fear', 'happy', 'happy', 'neutral']"
2063816471_23774af03b_2043_46201007@N00,happy,"['happy', 'happy', 'happy', 'fear']"
2176444890_b25213b849_2339_86991173@N00,happy,"['happy', 'happy', 'sad', 'happy']"
2083836397_6b2abee9ae_2263_15796333@N00,neutral,"['neutral', 'sad', 'fear', 'happy']"
417961246_8e854c988a_129_33494407@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2339660275_489b850b53_3086_8841090@N07,happy,"['sad', 'happy', 'happy', 'neutral']"
982603337_99d31af686_1120_62477581@N00,happy,"['happy', 'happy', 'happy', 'happy']"
752656578_d61012027f_1069_44624737@N00,happy,"['happy', 'happy', 'happy', 'sad']"
2049513532_085f188d9f_2065_79391933@N00,happy,"['happy', 'happy', 'happy', 'happy']"
430797289_c6d2c93164_186_56597029@N00,happy,"['happy', 'neutral', 'happy', 'neutral']"
1918498334_f96eb981b0_2364_8325831@N06,happy,"['happy', 'neutral', 'happy', 'happy']"
426403998_9ee2c20ab0_170_89191538@N00,happy,"['happy', 'happy', 'happy', 'happy']"
528880639_8e82bce231_1242_70198785@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2474593636_15525d6010_2218_26373445@N04,happy,"['happy', 'neutral', 'happy', 'happy']"
2496638615_4cc83962eb_2184_8119277@N03,happy,"['happy', 'neutral', 'sad', 'happy']"
371534650_ddd36e2bae_142_70985827@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1406980927_d62e8dd34c_1310_13786840@N02,happy,"['happy', 'happy', 'happy', 'happy']"
1327273443_51a9b35272_1039_85187972@N00,happy,"['happy', 'disgust', 'neutral', 'happy']"
2409753727_2d097583ac_3210_48889036490@N01,happy,"['neutral', 'happy', 'happy', 'happy']"
732117314_6b6b947744_1258_9682687@N02,happy,"['happy', 'neutral', 'happy', 'happy']"
370779381_bac87388b2_117_96672712@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2643687853_56a72a2e9e_3282_26606851@N07,happy,"['happy', 'sad', 'happy', 'happy']"
518345618_ea772cb1e7_216_43141685@N00,happy,"['happy', 'happy', 'happy', 'happy']"
510066093_ddb8f2776d_214_27446776@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
2254666243_1bb1e73ec5_2219_91074341@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1358422752_abf30d5e1b_1429_11566783@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1699523390_a05b44652c_2023_28946048@N00,happy,"['happy', 'sad', 'neutral', 'happy']"
2198743723_4e8b1421c7_2233_7478204@N07,neutral,"['neutral', 'fear', 'happy', 'neutral']"
2524590812_0e3ae1891e_2279_10731304@N06,happy,"['happy', 'sad', 'happy', 'neutral']"
2221931544_d7922807eb_2043_11226170@N05,happy,"['fear', 'sad', 'neutral', 'neutral', 'sad', 'happy', 'happy', 'happy', 'happy']"
1287759893_ac29a34203_1047_44545852@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
358978247_b384838131_151_34698905@N00,happy,"['happy', 'neutral', 'happy', 'fear']"
2330678811_4261ccfec2_3068_16568376@N08,happy,"['happy', 'sad', 'happy', 'neutral']"
2518007001_7e8f59e6c6_3292_22240450@N05,happy,"['happy', 'happy', 'happy', 'happy']"
987580215_2cfdfb286d_1308_11753051@N00,happy,"['happy', 'happy', 'sad', 'happy']"
2569896598_71eb50d70d_3130_70587360@N00,neutral,"['neutral', 'neutral', 'happy', 'happy']"
2069287460_32ae7fd974_2097_46761408@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2323278226_48b9316371_3015_70788886@N00,happy,"['happy', 'angry', 'fear', 'neutral']"
2093303201_5bd87548f6_2330_45446486@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2393556737_9b97af85d2_3010_25295680@N02,happy,"['happy', 'happy', 'happy', 'happy']"
401021648_24bbaab62c_142_33494407@N00,neutral,"['neutral', 'happy', 'neutral', 'neutral']"
376084010_0595c851fb_178_19071351@N00,happy,"['happy', 'happy', 'happy', 'happy']"
