base_image,group_emotion,individual_emotions
2500286780_8fcc0ee8a5_2243_21963786@N08,happy,"['happy', 'neutral', 'happy', 'happy']"
366495581_4abc5b0287_138_61935966@N00,happy,"['happy', 'happy', 'happy', 'sad']"
518345600_ac7db11048_209_43141685@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2597934327_e1d3ac8517_3088_91636052@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
1358016371_82d7a99c4e_1122_34163907@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
1828239691_ffdb2743bf_2418_70155418@N00,happy,"['happy', 'happy', 'happy', 'happy']"
447762054_3d96ee089b_208_65052362@N00,happy,"['happy', 'happy', 'happy', 'happy']"
765756440_e67d1bdb9a_1021_8489790@N03,happy,"['happy', 'sad', 'happy', 'happy']"
993264043_86f40a5564_1097_8340593@N06,happy,"['happy', 'neutral', 'angry', 'happy']"
2425950998_f52e7794ba_2348_25816675@N07,happy,"['happy', 'neutral', 'happy', 'happy']"
464966320_289e523fee_176_22688286@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
405110239_471e9cddd5_173_42909337@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
2229374275_1ef7c2d765_2253_9754329@N08,happy,"['happy', 'angry', 'happy', 'happy']"
491319564_5c6766083d_226_8213628@N04,happy,"['happy', 'happy', 'happy', 'happy']"
461106167_7c9ce377cf_191_83106697@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2199372321_7d182c91ab_2079_10986586@N05,neutral,"['happy', 'angry', 'neutral', 'neutral']"
1011891580_30a645c434_1343_83485605@N00,happy,"['happy', 'happy', 'happy', 'happy']"
359832056_a20b7cc663_123_74482383@N00,sad,"['sad', 'happy', 'happy', 'sad']"
1881668414_8557efbdfb_2164_99766845@N00,happy,"['happy', 'angry', 'happy', 'happy']"
447258998_4d838b0271_239_71075828@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2417447643_f1268dd9cb_2180_43195273@N00,happy,"['happy', 'happy', 'happy', 'sad']"
2178018233_57b28fbee8_2304_16682684@N00,neutral,"['neutral', 'neutral', 'neutral', 'happy']"
457702331_fc562edbb1_228_7808052@N06,happy,"['happy', 'happy', 'happy', 'happy']"
1995022472_791a447bb1_2362_56335109@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1560115008_5447fcf7a7_2090_65584845@N00,happy,"['happy', 'happy', 'happy', 'happy']"
432811191_e631caef2a_159_7500631@N06,happy,"['happy', 'happy', 'happy', 'happy']"
1943319372_309b155555_2186_92155448@N00,happy,"['happy', 'happy', 'happy', 'happy']"
777415406_5ba9faec97_1363_9945496@N02,happy,"['happy', 'happy', 'happy', 'happy']"
2169171520_cda18ed2e4_2355_17164193@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
2436165979_06b905c4be_2143_76784944@N00,happy,"['happy', 'happy', 'happy', 'happy']"
353593057_dead4be151_129_99694168@N00,happy,"['happy', 'sad', 'happy', 'happy']"
451176056_9a96f51b0d_228_7496597@N03,happy,"['happy', 'angry', 'happy', 'happy', 'sad', 'happy']"
381539901_7521fd56c8_98_44957391@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2612771466_4d15c79428_3137_72185868@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
566623186_f44659b509_1330_12984545@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
2411412841_d019361ff4_3146_99495832@N00,happy,"['fear', 'happy', 'happy', 'happy']"
2145253695_4b7d70f04c_2225_84821907@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2342651667_525e9aeaa3_2113_68473686@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy', 'happy']"
421802323_f735f2277a_186_27545346@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2350532746_c7ee22268b_2276_62417949@N00,happy,"['happy', 'happy', 'happy', 'happy']"
527931323_d51d27a3a9_1105_49243361@N00,happy,"['happy', 'neutral', 'happy', 'neutral', 'fear', 'angry']"
385245197_216802c645_147_30062889@N00,happy,"['happy', 'happy', 'happy', 'happy']"
463720165_af0f7a24f3_214_10145087@N00,happy,"['neutral', 'happy', 'surprise', 'happy', 'happy', 'happy']"
464972631_1c67e84f70_209_22688286@N00,neutral,"['sad', 'neutral', 'neutral', 'neutral', 'happy', 'happy', 'happy']"
524934952_2718a62bd0_194_83838608@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'sad', 'happy']"
1392957559_479595945f_1164_9021156@N03,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
2192018577_42f194fc9c_2168_61798155@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'sad']"
515451769_22edcb4451_216_80169899@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1236345792_25e1598f43_1053_11524416@N05,happy,"['neutral', 'fear', 'happy', 'happy', 'happy', 'happy']"
2408507904_75799b6905_2210_23812246@N04,neutral,"['neutral', 'fear', 'happy', 'happy', 'neutral']"
2329320223_118d876cc0_2358_24147155@N07,happy,"['angry', 'happy', 'happy', 'fear']"
523941583_fef39d3477_250_93038022@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'happy']"
2120988211_fa4fd093c9_2332_8572700@N04,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
2169523572_97faff89f1_2082_68449751@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'happy']"
771256674_1b048d8bf0_1245_20528706@N00,happy,"['happy', 'angry', 'happy', 'happy', 'happy']"
540706641_0079875590_1016_54378690@N00,happy,"['neutral', 'happy', 'happy', 'neutral', 'happy']"
2606094739_9b8b47ba99_3220_18723167@N00,happy,"['happy', 'happy', 'angry', 'angry']"
793385106_a88d63c337_1224_96988650@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy', 'happy', 'fear']"
390963803_49287929c7_160_40411468@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'happy']"
486997878_efdf16ee55_225_92855777@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'angry']"
358421142_ec8c4495bd_157_47419866@N00,happy,"['happy', 'happy', 'sad', 'happy', 'neutral']"
497718398_651fd930b4_216_84132996@N00,neutral,"['sad', 'fear', 'neutral', 'happy', 'neutral', 'happy']"
1271691845_2f9a5a6e4e_1273_29693561@N00,happy,"['happy', 'fear', 'happy', 'happy']"
434380039_ee1d93450a_187_12851749@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'happy']"
2378556823_45d12b5e01_2378_17164193@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1112799685_d867077c53_1329_44711882@N00,happy,"['happy', 'happy', 'fear', 'fear', 'happy', 'happy']"
1116340632_924322d5d5_1324_37925030@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy', 'sad']"
2068787735_ed332f8b70_2137_89027534@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
2130477232_bbabe1265b_2170_99015941@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
422883922_fc503e3be6_148_46869143@N00,happy,"['happy', 'happy', 'happy', 'happy', 'sad']"
526234502_2047175d44_1221_21548501@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2422824339_33950f1c7c_3001_10066546@N03,neutral,"['angry', 'neutral', 'sad', 'neutral', 'neutral', 'happy', 'neutral', 'happy']"
434109495_e2d52167e9_187_18379255@N00,happy,"['neutral', 'happy', 'happy', 'happy']"
480950099_efded5085e_223_69206205@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
2123379930_2bd47540f8_2138_11768493@N00,happy,"['happy', 'happy', 'fear', 'happy']"
468540735_f15c2b0967_176_40954787@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1383884177_d9c35d59d4_1404_11474333@N05,happy,"['sad', 'fear', 'happy', 'happy', 'sad', 'happy']"
2213953504_f703a52244_2119_11047904@N08,neutral,"['sad', 'neutral', 'neutral', 'angry', 'neutral', 'neutral']"
417998146_20095f9404_163_33494407@N00,happy,"['happy', 'fear', 'happy', 'happy', 'neutral']"
396163988_e337fffce1_136_69369215@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
539561070_aa8a91679e_1144_66757294@N00,happy,"['neutral', 'happy', 'sad', 'happy', 'happy', 'happy']"
2387248075_1de3407311_2042_11490843@N08,happy,"['happy', 'happy', 'happy', 'happy']"
416242864_466cba984a_165_33494407@N00,happy,"['happy', 'happy', 'neutral', 'neutral', 'angry', 'neutral', 'happy']"
2388250401_43af469a23_3116_68266675@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
2350720301_f19af5f743_3057_9405794@N07,happy,"['happy', 'neutral', 'happy', 'happy', 'happy', 'happy', 'happy']"
1203242254_d39c659f16_1094_7310714@N06,happy,"['happy', 'happy', 'neutral', 'happy']"
2122891756_9d328d3fbb_2181_11004098@N02,happy,"['happy', 'happy', 'sad', 'fear', 'happy', 'surprise', 'happy']"
2382819008_f514477ce8_3203_25290947@N08,happy,"['happy', 'happy', 'happy', 'happy']"
407357757_f382eeb384_158_20929277@N00,happy,"['happy', 'happy', 'happy', 'happy', 'surprise']"
2111071200_2b41f1c6d2_2409_31954184@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
389948972_8ad4db4377_171_10738067@N00,happy,"['fear', 'neutral', 'happy', 'happy', 'angry', 'happy']"
2053928442_d9c738f5fb_2366_21179287@N08,happy,"['neutral', 'neutral', 'happy', 'happy', 'happy']"
2065982497_ea61b4c723_2415_34502380@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1092572827_6da7dfa734_1084_90517757@N00,happy,"['fear', 'neutral', 'neutral', 'happy', 'happy', 'happy', 'sad']"
365900030_cb30d7d63b_98_56614502@N00,neutral,"['neutral', 'angry', 'angry', 'fear', 'happy', 'neutral', 'neutral', 'happy']"
2570574449_0f017022c6_3023_63334159@N00,happy,"['happy', 'sad', 'happy', 'happy', 'angry', 'happy']"
2258471435_a9c6040dcf_2061_18125152@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'happy']"
2376335360_7b25a52784_3043_25214111@N08,happy,"['happy', 'happy', 'sad', 'happy', 'fear']"
412411130_b2971fdd33_174_11642286@N00,happy,"['happy', 'happy', 'happy', 'happy']"
356889983_b008ae66e4_155_92778929@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
441339958_db7dff2803_195_33494407@N00,happy,"['happy', 'happy', 'angry', 'happy', 'neutral', 'sad', 'neutral']"
2323291036_1359e74412_3174_70788886@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
1163460259_46996ee35d_1100_11680701@N05,happy,"['fear', 'happy', 'happy', 'neutral', 'sad', 'fear', 'happy']"
497449561_c2925f7e23_193_32975565@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2295586302_d59a11d357_3230_80122724@N00,happy,"['fear', 'happy', 'sad', 'happy', 'happy']"
450732461_7c2dbeec30_182_91114841@N00,happy,"['happy', 'happy', 'neutral', 'neutral']"
439668024_251791a53f_165_96845917@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
1680502690_eee64d710e_2013_14704201@N03,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
508350919_481754a89e_219_16163538@N00,happy,"['fear', 'happy', 'happy', 'angry', 'happy', 'sad']"
2300355074_c1a82c3a01_3118_15595996@N00,happy,"['happy', 'fear', 'sad', 'happy', 'neutral', 'happy', 'happy']"
2582820490_52e9beb653_2268_45722711@N00,angry,"['angry', 'angry', 'happy', 'sad', 'fear', 'happy']"
425755518_00ac3528e5_166_51035735481@N01,happy,"['happy', 'happy', 'happy', 'happy']"
401778065_f28eec336f_165_15725396@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2293471000_f390fe982a_3165_9030333@N02,happy,"['happy', 'angry', 'happy', 'happy']"
1314154121_d439fdf1d4_1316_25916960@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'happy']"
2503904006_e0c46e735e_2003_25560237@N05,happy,"['happy', 'happy', 'happy', 'happy']"
2489420336_7e3017e3bd_2305_24332483@N07,happy,"['happy', 'sad', 'happy', 'happy', 'happy']"
2062255233_391eead2a7_2080_51485176@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
1339183744_495c922973_1038_57059629@N00,fear,"['fear', 'fear', 'happy', 'sad', 'sad']"
2286605683_363a3f7f50_3180_21890834@N07,happy,"['happy', 'neutral', 'happy', 'happy', 'sad']"
2066045759_8af163881f_2065_26025405@N00,happy,"['neutral', 'sad', 'happy', 'happy', 'happy', 'happy', 'neutral']"
492190880_0699168b17_192_54294194@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2445025516_d7f8173d71_2336_61742023@N00,happy,"['happy', 'happy', 'happy', 'happy']"
361986865_36aa732490_153_88156353@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
1496556871_b81dbe4ec2_1225_8237729@N02,happy,"['happy', 'happy', 'happy', 'angry', 'happy']"
2559399113_319b0713dc_3036_8730186@N03,happy,"['happy', 'happy', 'happy', 'happy', 'sad', 'happy']"
1413721979_a71c98c782_1206_7512404@N02,happy,"['happy', 'happy', 'happy', 'happy']"
2080764197_4b40d16232_2175_53108604@N00,happy,"['sad', 'happy', 'fear', 'neutral', 'happy']"
1801738170_d65e0e5d0c_2179_7378192@N06,happy,"['angry', 'happy', 'happy', 'happy', 'neutral']"
1822051497_ce55c1b6b0_2100_17280773@N07,happy,"['neutral', 'happy', 'happy', 'sad']"
1097525197_d2bd1733da_1204_45836168@N00,happy,"['happy', 'happy', 'fear', 'sad', 'happy', 'happy']"
484913772_e8cf545358_167_46869487@N00,happy,"['happy', 'angry', 'happy', 'happy', 'happy']"
630579238_5456ee03b0_1056_7221366@N06,happy,"['happy', 'happy', 'sad', 'happy']"
2142760582_1deee34295_2083_8004781@N05,happy,"['fear', 'happy', 'happy', 'neutral']"
486295501_066bbb8bb9_183_95934681@N00,happy,"['happy', 'happy', 'happy', 'happy', 'sad', 'sad']"
2643391892_5a1a9fa63f_3137_64445411@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'sad', 'happy', 'happy', 'sad']"
2311202259_36199d21e1_2160_54294194@N00,happy,"['neutral', 'happy', 'neutral', 'happy', 'happy', 'happy']"
2129776826_6d8f391a15_2322_16927666@N03,happy,"['sad', 'happy', 'neutral', 'happy', 'happy']"
354437581_d892b3771b_148_78608020@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2478165346_5c163647bd_2018_7794213@N03,happy,"['neutral', 'angry', 'sad', 'happy', 'happy', 'happy', 'happy', 'sad']"
383811833_6e4a473b61_140_26277240@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
1355597567_631ee4fee8_1395_17729148@N00,happy,"['sad', 'happy', 'fear', 'happy', 'fear']"
1112055665_1336a670c9_1154_43892612@N00,happy,"['neutral', 'happy', 'happy', 'sad']"
2143081796_58192d8a86_2415_68473686@N00,happy,"['happy', 'happy', 'sad', 'happy', 'happy', 'happy', 'happy', 'sad']"
2228617645_e9909e7cda_2019_77459183@N00,happy,"['happy', 'neutral', 'fear', 'happy', 'happy']"
376084007_0310c7b5bd_140_19071351@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1008056499_a52d5247f0_1080_22209351@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'sad']"
471224342_1622640dd9_222_75403381@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
871211662_fdc7a90ea7_1317_49906406@N00,happy,"['happy', 'sad', 'neutral', 'happy', 'happy']"
1592928171_36b4b92c96_2041_84144244@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
2246969213_b6d1703cd3_2077_23565824@N04,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
617217431_c3756cdd8e_1411_88143672@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
492016556_e1cdbee9c1_197_87939532@N00,happy,"['fear', 'happy', 'happy', 'happy', 'happy']"
358142500_39a8b97172_156_69461990@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
361507437_439fb96e1b_140_74875638@N00,happy,"['happy', 'angry', 'happy', 'sad']"
421334400_113f56a854_151_96489918@N00,happy,"['sad', 'happy', 'happy', 'happy', 'neutral', 'sad', 'angry']"
1411438667_895f13c6fa_1355_23737563@N00,happy,"['neutral', 'happy', 'angry', 'happy', 'happy']"
2272464533_c9a8960dc0_2187_94553866@N00,happy,"['happy', 'sad', 'happy', 'happy', 'happy']"
2219326670_fbe5b57ed8_2327_41432413@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'happy']"
442786054_75b8ff5970_191_17687176@N00,happy,"['sad', 'happy', 'happy', 'neutral', 'neutral']"
453236589_bcc9251416_243_59905186@N00,neutral,"['sad', 'angry', 'happy', 'neutral', 'neutral']"
1539063406_c10d9bdf2d_2017_14617223@N04,happy,"['neutral', 'happy', 'happy', 'neutral', 'happy']"
2099991648_4487ce6e3b_2171_42649774@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
534637715_61ddf9ec85_1213_27323914@N00,happy,"['neutral', 'angry', 'happy', 'happy', 'happy']"
2503108207_a5f669436e_2381_23548318@N08,neutral,"['neutral', 'neutral', 'happy', 'sad', 'happy']"
2059943559_9addd170a9_2292_10978146@N05,neutral,"['neutral', 'neutral', 'fear', 'neutral', 'neutral']"
2181944217_ef471039f6_2072_76992465@N00,happy,"['happy', 'happy', 'sad', 'happy', 'happy', 'happy', 'happy']"
438406432_8c996420a3_168_41836903@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2216567710_ebcfd37828_2288_47759279@N00,happy,"['neutral', 'happy', 'happy', 'sad', 'happy', 'happy']"
372538312_3b2af2eaa4_176_91847930@N00,happy,"['fear', 'happy', 'happy', 'neutral', 'sad']"
2514602521_09770e347b_2328_15799822@N02,happy,"['sad', 'happy', 'angry', 'happy', 'fear']"
2076952466_6c5b306421_2037_81349649@N00,happy,"['angry', 'fear', 'happy', 'happy', 'happy']"
2598883273_a35d1a7d30_3273_20984172@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2139214699_4bec7350d7_2281_24509941@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'happy', 'happy']"
497393612_55a430b86d_218_91554792@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'happy', 'angry']"
2362286266_195a3a0f62_2164_25003351@N05,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
2215001757_0af3dea3f9_2001_22039765@N00,happy,"['happy', 'happy', 'happy', 'happy', 'fear']"
360129425_d0fd4cbfe4_166_49566261@N00,happy,"['happy', 'happy', 'sad', 'happy', 'angry']"
453741313_0529e62808_216_36077720909@N01,happy,"['sad', 'happy', 'neutral', 'happy', 'happy']"
2147534802_a16b1aa7c2_2309_27426116@N00,happy,"['sad', 'neutral', 'happy', 'happy', 'happy', 'neutral']"
2314712407_fc7ab6e532_2057_24449982@N06,happy,"['sad', 'neutral', 'fear', 'happy', 'happy']"
2403659530_209758ef50_3162_42173091@N00,neutral,"['neutral', 'sad', 'angry', 'happy', 'neutral', 'happy']"
945100065_854bc5a3ce_1367_14792256@N00,happy,"['fear', 'happy', 'happy', 'happy', 'happy']"
2081116741_4e2ef7a76a_2227_35511728@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy']"
679127972_b8970e44cb_1253_7401345@N06,happy,"['fear', 'happy', 'happy', 'happy', 'happy']"
1241021189_d5dcf2d683_1266_12157824@N05,happy,"['happy', 'happy', 'happy', 'happy', 'neutral', 'happy']"
2194325046_bf6ef0d683_2267_24505720@N00,happy,"['neutral', 'neutral', 'happy', 'happy', 'happy', 'happy']"
375990356_442f10ef53_181_91304046@N00,happy,"['angry', 'happy', 'happy', 'happy', 'happy', 'happy']"
2386371312_beb624855e_3235_23933463@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'happy']"
2186092534_36164ca6e8_2285_22642577@N06,happy,"['happy', 'happy', 'neutral', 'happy', 'happy', 'sad']"
1790877707_6f959b3540_2138_78525398@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
1549506590_6086913642_2108_12467938@N05,happy,"['happy', 'happy', 'sad', 'happy', 'happy']"
589372405_56bf3d70ba_1059_14696573@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2223283459_106bb82aa0_2142_15465239@N03,happy,"['neutral', 'happy', 'happy', 'happy', 'neutral']"
2589675854_745f62e101_3061_7769838@N02,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2336081974_e5e9e2b02f_2114_8444576@N06,happy,"['happy', 'happy', 'happy', 'fear', 'neutral']"
1066508149_95a6119d10_1173_8904980@N05,happy,"['sad', 'happy', 'happy', 'happy', 'fear']"
413151483_d5ccd767ca_187_44323457@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'neutral']"
1396456013_d6b5dcc2b2_1236_58418794@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
355320879_e70428d659_158_81719031@N00,happy,"['fear', 'happy', 'happy', 'sad', 'happy']"
643789330_542ded5912_1179_9348598@N03,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2207624458_443a902745_2367_81737589@N00,happy,"['happy', 'neutral', 'neutral', 'sad', 'happy']"
401314210_a7a473eeea_139_32038116@N00,happy,"['happy', 'disgust', 'sad', 'angry']"
383525216_9201b79aef_150_70612559@N00,happy,"['happy', 'happy', 'neutral', 'neutral']"
1377183335_263e525bce_1084_32278246@N00,happy,"['happy', 'happy', 'happy', 'happy']"
413598036_a812dc4f00_177_11825476@N00,happy,"['sad', 'happy', 'happy', 'happy']"
864339131_fe463f1188_1183_29409706@N00,happy,"['happy', 'happy', 'sad', 'happy']"
2143700155_875e3f1372_2129_30056944@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2493383337_266b8c7128_2021_97093002@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
2351691521_8018679c95_3131_8642269@N05,happy,"['happy', 'happy', 'happy', 'happy']"
2500284038_88a27f456e_3152_21963786@N08,happy,"['happy', 'happy', 'happy', 'happy']"
498596089_a6a80b725f_212_98083017@N00,happy,"['happy', 'happy', 'happy', 'fear']"
414987308_45ff098a61_154_88366637@N00,happy,"['happy', 'happy', 'happy', 'fear']"
458909444_b1e159a57f_200_91863145@N00,neutral,"['neutral', 'neutral', 'neutral', 'neutral']"
480377958_aa8f5ef3f0_213_21212216@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1249821558_1335f600f3_1059_35355480@N00,happy,"['happy', 'happy', 'happy', 'happy']"
356477938_81ca912b05_165_73323022@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
2619401796_d06281256a_3293_47755797@N00,happy,"['sad', 'happy', 'happy', 'happy']"
401126490_425ed0ffc3_168_91213304@N00,happy,"['happy', 'happy', 'happy', 'happy']"
413167622_a3644a2ff2_169_7256070@N06,happy,"['happy', 'happy', 'happy', 'happy']"
2434389389_ffcf9b1fc1_2160_82565522@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2203879458_4392f87b65_2183_19199677@N00,happy,"['happy', 'happy', 'happy', 'happy']"
506907956_354c1fed54_211_49371390@N00,happy,"['happy', 'happy', 'happy', 'happy']"
365192660_c7268af568_134_51097175@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1358423248_b3d0f325e2_1127_11566783@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
2176330595_0f46156a50_2042_68063639@N00,happy,"['happy', 'happy', 'sad', 'happy']"
1352965513_2c490cfe6a_1344_12766047@N06,neutral,"['neutral', 'happy', 'neutral', 'happy']"
410167890_f89db52f38_161_92268171@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
855025434_3501897579_1130_79669641@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2619633216_0d1544ec38_3162_10584185@N03,happy,"['happy', 'happy', 'happy', 'happy']"
415183237_f1c1bc190e_164_33494407@N00,happy,"['neutral', 'happy', 'fear', 'happy']"
1541644108_3724c3aae1_2317_53406795@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
873192567_cd4c735f11_1043_9245223@N05,happy,"['happy', 'happy', 'happy', 'happy']"
383814881_8bdacb9f72_177_94105638@N00,happy,"['happy', 'happy', 'happy', 'happy']"
633136820_579e2d27e1_1328_9311253@N04,neutral,"['happy', 'neutral', 'neutral', 'sad']"
542147149_28ecb6b380_1256_99926996@N00,happy,"['happy', 'happy', 'happy', 'angry']"
473181237_662543a8dc_176_90495448@N00,fear,"['fear', 'happy', 'sad', 'neutral']"
1095083232_af6013ae97_1291_8430900@N06,happy,"['happy', 'happy', 'happy', 'happy']"
375827323_75e6040f04_145_75401560@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1376818829_d13770fb59_1055_13488692@N07,happy,"['happy', 'neutral', 'neutral', 'happy']"
526107666_e52234b0c4_1216_51304322@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1421536399_3740d7874b_1136_22427220@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2214106677_92457611a9_2339_79178184@N00,happy,"['happy', 'happy', 'sad', 'happy']"
2472049333_58a619956a_3034_24123129@N04,happy,"['angry', 'happy', 'happy']"
411028350_aa9408ffb1_185_14164804@N00,happy,"['happy', 'neutral', 'happy', 'neutral']"
992452487_19d8677dfd_1360_8914830@N05,happy,"['happy', 'happy', 'happy', 'happy']"
